area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,hospital_distance_km,hospital_time_min,playground_distance_km,playground_time_min,kindergarten_distance_km,kindergarten_time_min,metro_distance_km,metro_time_min,busstop_distance_km,busstop_time_min,office_distance_km,office_time_min,school_distance_km,school_time_min,college_distance_km,college_time_min
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,13.0146,77.6376,1.24,3,0.1,8,2.64,8,6.55,24,1.2,6,1.29,18,1.78,5,8.13,26
Built-up  Area,Ready To Move,Kadugodi,2 BHK,GrrvaGr,1050,2.0,1.0,34.0,13.0006,77.6236,3.09,13,0.65,6,2.65,7,8.0,17,0.23,3,3.09,30,3.06,13,1.25,25
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,12.9796,77.6026,1.21,12,2.18,3,1.33,8,3.2,7,0.32,3,13.19,28,4.52,13,4.33,32
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,GrrvaGr,945,2.0,1.0,54.0,12.9956,77.6186,1.76,9,0.92,5,0.22,4,6.55,20,0.35,2,7.02,35,2.28,4,6.44,34
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,13.0126,77.6356,4.74,7,2.82,8,1.42,4,4.39,14,1.28,3,1.48,27,2.71,10,7.96,17
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,GrrvaGr,950,7.0,0.0,115.0,12.9746,77.5976,4.38,4,2.29,5,2.97,11,5.11,8,1.1,4,8.85,42,4.52,8,1.46,15
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,12.9786,77.6016,2.3,13,2.13,5,1.82,5,5.6,19,0.68,7,4.72,11,1.73,14,1.92,15
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,12.9736,77.5966,1.74,5,0.15,2,3.19,3,4.2,10,1.85,5,10.46,19,3.58,7,3.58,11
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,12.9836,77.6066,2.98,9,2.11,1,3.98,9,1.21,24,1.51,7,4.99,42,3.2,10,3.05,34
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,GrrvaGr,1200,4.0,0.0,210.0,12.9796,77.6026,3.86,7,1.62,1,2.15,4,2.91,14,0.17,5,10.83,27,1.08,8,6.34,17
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,13.0016,77.6246,1.13,3,0.6,2,2.28,9,2.66,16,1.98,2,8.39,11,3.81,3,2.41,24
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,12.9856,77.6086,4.55,5,1.8,6,3.72,4,5.42,22,1.14,4,2.39,30,1.98,8,7.17,28
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,13.0146,77.6376,1.1,6,0.41,3,3.52,3,2.01,19,0.97,7,4.48,35,0.67,6,1.05,23
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,12.9796,77.6026,3.13,2,1.51,3,0.57,11,7.23,18,0.58,3,12.41,19,1.48,14,9.22,25
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,GrrvaGr,1280,3.0,1.0,50.4,12.9786,77.6016,2.84,10,0.66,6,1.01,5,1.71,17,0.97,2,8.87,35,3.36,6,9.43,32
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,13.0136,77.6366,1.78,6,0.13,4,0.53,9,1.57,17,1.44,2,8.33,29,3.27,3,1.37,27
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,GrrvaGr,5000,8.0,2.0,250.0,12.9796,77.6026,2.89,10,1.17,2,0.47,8,1.13,23,1.62,7,2.37,26,1.76,13,3.92,20
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,13.0156,77.6386,4.42,8,1.17,7,2.52,7,1.83,24,1.51,3,10.1,11,3.34,9,6.01,32
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,12.9756,77.5986,1.79,8,1.6,4,0.43,6,2.81,13,1.78,2,10.2,26,4.31,12,5.75,26
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,GrrvaGr,1000,2.0,1.0,60.0,12.9726,77.5956,4.45,4,2.89,9,2.24,9,4.25,10,0.95,2,11.98,33,1.13,12,9.88,14
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,12.9876,77.6106,0.5,11,0.33,2,3.03,6,6.64,19,1.5,5,6.8,20,2.7,6,1.95,18
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,GrrvaGr,4000,7.0,2.0,225.0,12.9736,77.5966,2.76,12,0.75,2,1.95,3,1.31,12,1.38,2,12.37,36,2.35,14,1.56,33
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,2.0,110.0,12.9826,77.6056,1.61,12,1.41,4,3.33,7,4.61,19,0.79,3,8.11,31,0.43,12,6.01,33
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,13.0106,77.6336,4.67,6,1.11,1,3.56,10,2.78,17,0.5,2,10.53,23,3.6,5,7.76,32
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,13.0076,77.6306,0.43,6,1.74,7,0.3,4,1.05,13,1.9,1,5.32,10,0.49,10,6.93,23
Plot  Area,Ready To Move,Dinnur,6 Bedroom,GrrvaGr,1034,5.0,2.0,185.0,13.0056,77.6286,0.29,8,2.43,3,0.63,6,3.64,10,0.8,4,1.11,34,4.31,10,5.43,21
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,12.9936,77.6166,4.09,3,1.31,2,3.66,6,2.37,21,0.12,5,4.63,24,2.3,4,8.62,23
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,12.9736,77.5966,3.75,7,1.0,2,2.69,5,5.22,18,0.37,3,2.23,37,2.02,12,5.6,28
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,GrrvaGr,1250,2.0,3.0,44.0,13.0076,77.6306,0.94,6,0.76,9,3.09,9,0.6,10,0.58,7,5.13,18,1.8,13,1.47,15
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,2.0,235.0,13.0066,77.6296,4.72,2,2.39,6,2.25,7,7.03,8,1.28,2,1.15,11,2.03,5,4.61,21
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,13.0186,77.6416,4.39,10,0.37,6,2.12,10,2.42,15,0.28,3,9.04,28,4.91,12,9.03,15
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,12.9876,77.6106,1.37,10,1.51,9,1.56,4,6.74,11,0.93,1,2.96,26,4.91,12,9.27,30
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,GrrvaGr,1200,2.0,2.0,50.0,12.9756,77.5986,3.49,7,1.18,9,3.47,5,7.16,8,1.49,2,1.62,32,1.49,3,8.71,13
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,12.9746,77.5976,2.26,10,1.93,4,3.17,10,5.79,5,1.06,7,8.93,11,3.06,14,3.35,13
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,12.9746,77.5976,2.89,14,1.67,2,0.85,9,5.21,5,1.3,7,10.44,22,2.77,8,5.19,30
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,GrrvaGr,3750,4.0,0.0,760.0,12.9726,77.5956,4.0,4,1.11,5,0.9,7,1.99,15,0.34,4,7.49,16,1.74,6,5.25,13
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,GrrvaGr,1350,2.0,3.0,48.0,12.9996,77.6226,3.23,7,0.41,6,1.1,10,7.99,6,0.2,7,4.54,20,4.37,14,9.48,32
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,13.0086,77.6316,0.65,2,0.5,3,3.99,4,6.92,8,1.78,4,8.04,25,2.65,8,4.17,11
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,12.9756,77.5986,3.11,3,2.08,5,2.27,11,5.84,18,1.01,7,9.51,26,1.37,8,3.09,32
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,GrrvaGr,4200,4.0,2.0,420.0,13.0206,77.6436,1.09,5,1.53,9,2.14,7,4.36,14,0.88,1,5.3,27,4.31,11,3.33,19
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3.0,1.0,175.0,13.0206,77.6436,2.34,4,2.39,5,3.27,7,6.96,23,1.06,5,2.54,16,0.6,14,8.18,32
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,12.9736,77.5966,2.09,2,2.78,6,1.57,5,5.77,14,1.15,5,13.13,15,3.03,7,1.7,15
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,13.0126,77.6356,0.6,14,2.06,9,1.87,11,0.69,14,0.55,1,7.21,15,1.54,10,1.22,31
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,12.9836,77.6066,0.68,4,2.75,9,2.0,6,1.31,21,0.4,3,13.76,11,1.97,7,4.35,11
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,12.9836,77.6066,3.98,10,0.18,6,2.58,6,2.84,19,0.91,6,13.32,15,1.19,3,3.05,28
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,13.0106,77.6336,2.97,6,1.66,9,0.66,10,7.45,8,0.55,4,5.6,28,3.05,11,7.56,17
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,GrrvaGr,1300,6.0,0.0,99.0,13.0196,77.6426,4.87,11,0.87,7,1.05,9,5.9,9,0.78,2,3.69,43,1.94,10,2.02,20
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,13.0036,77.6266,4.77,3,0.67,6,2.83,3,3.79,14,1.28,2,4.18,38,1.42,8,2.54,12
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,12.9836,77.6066,1.12,13,0.91,2,0.41,7,5.41,17,1.31,5,11.2,39,0.5,8,4.63,10
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,12.9836,77.6066,4.31,9,2.48,7,2.17,11,6.78,19,1.53,4,5.04,28,4.69,4,1.28,33
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,12.9846,77.6076,1.77,9,1.93,1,3.17,4,0.59,10,0.79,4,11.13,16,4.61,13,9.09,27
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,GrrvaGr,1500,3.0,2.0,100.0,13.0026,77.6256,1.03,8,2.35,1,0.5,9,0.58,9,0.9,2,10.78,17,4.89,8,7.25,14
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,GrrvaGr,600,3.0,2.0,85.0,13.0036,77.6266,2.37,5,1.55,9,3.79,8,6.8,21,0.85,7,9.25,29,4.05,11,6.83,14
Plot  Area,Ready To Move,Nagavara,1 Bedroom,GrrvaGr,400,1.0,0.0,14.0,12.9736,77.5966,1.57,9,0.87,5,1.18,8,0.96,11,0.12,6,9.58,38,3.73,5,1.76,26
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,12.9866,77.6096,2.64,5,1.46,2,1.54,4,7.38,13,1.73,5,14.89,10,4.92,13,3.28,32
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,12.9836,77.6066,3.31,10,0.72,4,1.56,7,6.18,10,0.45,3,8.73,21,2.69,6,7.84,12
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,13.0186,77.6416,1.66,3,2.98,3,1.26,6,3.12,22,0.56,3,7.11,16,2.95,11,6.37,13
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,12.9736,77.5966,2.81,2,2.34,3,2.54,6,4.16,16,0.81,3,4.43,13,2.54,11,7.11,13
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,12.9746,77.5976,3.2,10,0.28,8,2.97,6,7.1,23,1.58,6,14.08,41,2.45,11,4.85,15
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,12.9886,77.6116,3.16,3,2.99,8,2.71,4,2.94,18,1.86,3,12.99,26,2.3,12,7.51,27
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,12.9836,77.6066,4.64,3,0.53,1,2.42,3,3.1,9,1.05,5,1.2,21,2.03,11,2.94,19
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,GrrvaGr,1846,3.0,2.0,300.0,12.9986,77.6216,3.31,13,2.01,8,1.46,10,0.78,24,1.77,7,7.79,25,1.27,6,1.01,27
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,GrrvaGr,1340,2.0,2.0,55.7,13.0086,77.6316,1.8,4,1.2,8,0.81,9,4.41,14,1.04,3,7.26,10,3.45,7,3.48,24
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,12.9836,77.6066,0.65,6,1.68,5,1.14,11,3.42,5,1.32,6,13.58,24,2.29,13,9.91,32
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,13.0156,77.6386,2.54,5,2.17,3,0.8,7,6.17,24,0.5,6,1.72,42,0.89,10,8.03,15
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,13.0086,77.6316,2.96,3,0.98,5,0.75,6,1.2,14,0.69,5,13.28,28,1.07,8,4.99,13
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,GrrvaGr,2250,4.0,1.0,110.0,12.9856,77.6086,2.87,13,0.4,2,0.79,8,4.68,22,0.96,5,7.41,42,3.89,6,6.11,23
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,12.9906,77.6136,2.84,9,2.01,9,2.05,5,2.91,8,0.16,4,2.89,11,4.86,11,7.25,29
Plot  Area,Ready To Move,Bellandur,4 Bedroom,GrrvaGr,1200,5.0,2.0,325.0,13.0136,77.6366,2.0,14,0.17,2,3.08,5,5.95,9,1.78,2,2.12,34,4.74,8,5.16,32
Plot  Area,Ready To Move,Ejipura,7 Bedroom,GrrvaGr,1800,7.0,1.0,250.0,12.9786,77.6016,4.8,7,0.75,4,2.59,6,1.6,11,1.58,5,14.01,10,3.3,9,9.9,26
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,13.0086,77.6316,3.14,13,0.13,6,3.98,10,6.94,10,0.54,4,1.51,17,0.35,14,4.09,10
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,13.0156,77.6386,1.27,2,2.23,8,1.96,10,2.59,21,1.85,5,12.51,33,4.87,4,3.9,33
Super built-up  Area,Ready To Move,Kothanur,2 BHK,GrrvaGr,1186,2.0,2.0,58.0,12.9826,77.6056,0.23,8,2.66,7,0.83,9,5.66,19,1.98,3,9.44,29,3.39,3,4.73,16
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,GrrvaGr,1783,3.0,1.0,115.0,12.9916,77.6146,2.94,4,1.04,7,0.74,3,3.08,14,1.21,1,1.48,37,0.69,14,5.46,27
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,12.9996,77.6226,3.78,8,1.01,8,0.28,3,7.87,15,0.79,1,11.34,34,3.08,8,5.96,11
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,GrrvaGr,980,2.0,1.0,48.0,13.0116,77.6346,0.73,3,0.38,2,2.51,3,5.63,10,0.71,5,2.07,26,3.39,11,9.82,31
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,GrrvaGr,1285,2.0,2.0,82.0,12.9726,77.5956,2.44,7,0.22,7,0.32,8,3.47,14,1.1,2,12.27,17,4.77,5,9.48,30
Super built-up  Area,Ready To Move,Langford Town,3 BHK,GrrvaGr,912,2.0,1.0,70.0,12.9746,77.5976,4.87,11,0.78,3,3.66,3,1.82,6,1.99,3,11.66,15,0.98,3,6.15,17
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,13.0206,77.6436,2.57,13,2.59,6,3.18,11,5.98,8,0.98,4,2.28,44,4.89,11,6.64,14
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrrvaGr,1075,2.0,1.0,53.0,13.0206,77.6436,4.3,9,1.85,8,3.71,11,6.51,14,0.12,4,1.98,29,4.99,14,3.45,20
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0,13.0006,77.6236,0.88,9,0.13,7,2.2,6,3.17,10,0.51,6,1.74,42,1.18,10,3.67,15
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7,13.0156,77.6386,2.37,13,1.87,9,2.7,9,2.2,5,0.33,5,6.65,16,2.11,9,7.47,24
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,13.0066,77.6296,1.9,8,0.25,3,0.6,7,5.8,22,1.38,7,1.02,43,4.62,3,6.53,31
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0,12.9846,77.6076,0.34,3,1.31,8,0.35,4,0.79,12,0.12,6,5.03,33,3.87,9,2.88,23
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,GrrvaGr,1207,2.0,2.0,43.5,13.0056,77.6286,2.7,8,2.81,1,3.74,7,6.91,21,1.92,1,5.94,10,3.34,3,5.63,19
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,GrrvaGr,1736,6.0,0.0,190.0,12.9736,77.5966,2.11,11,1.92,8,0.67,8,5.89,7,0.32,7,10.99,17,2.72,5,3.57,17
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,GrrvaGr,2850,4.0,1.0,428.0,13.0036,77.6266,3.14,11,1.87,5,0.7,7,3.4,19,0.19,7,6.03,16,0.53,13,7.47,11
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0,12.9996,77.6226,2.82,12,2.06,3,2.83,3,6.86,9,0.17,3,8.74,12,4.12,5,4.93,31
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,GrrvaGr,1798,3.0,2.0,89.0,12.9906,77.6136,2.38,4,0.5,8,1.93,5,1.1,15,1.66,2,5.95,12,0.79,8,9.27,22
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29,13.0066,77.6296,0.69,9,0.37,4,3.31,10,6.9,16,0.73,3,4.7,39,3.38,10,8.17,11
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,100.0,12.9816,77.6046,2.32,14,1.18,9,1.57,4,1.41,9,0.27,4,13.78,15,3.84,11,5.64,34
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0,13.0146,77.6376,4.86,6,0.65,5,0.97,11,3.71,24,1.55,3,4.78,14,4.34,4,5.18,32
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,GrrvaGr,3600,6.0,0.0,141.0,12.9926,77.6156,1.52,8,0.17,7,2.29,6,0.59,5,1.91,4,13.03,12,2.8,3,9.03,21
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0,12.9836,77.6066,2.05,5,1.09,9,2.99,5,4.43,24,0.8,5,12.82,13,4.12,12,5.23,29
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,GrrvaGr,1415,3.0,3.0,78.0,13.0166,77.6396,4.24,2,1.54,9,0.88,10,3.78,5,1.9,1,10.27,18,4.46,10,3.72,14
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,98.29,13.0016,77.6246,2.7,6,0.25,3,3.7,3,3.02,21,0.2,7,8.8,23,3.56,11,1.85,23
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3.0,2.0,125.0,13.0016,77.6246,0.21,12,2.92,4,0.94,11,6.01,11,0.8,5,13.81,14,4.07,3,3.08,11
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2.0,3.0,90.0,13.0136,77.6366,2.79,8,2.32,1,3.83,8,3.48,24,1.65,6,1.07,34,2.63,6,3.78,31
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,GrrvaGr,2000,4.0,1.0,75.5,12.9896,77.6126,4.39,7,2.24,2,0.75,7,5.12,10,1.43,2,7.46,23,4.62,7,6.23,25
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,44.28,13.0016,77.6246,3.51,8,2.65,2,0.69,3,6.07,8,0.56,7,9.31,14,4.6,5,2.58,32
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,2.0,2.0,74.82,13.0146,77.6376,3.83,4,1.81,8,0.91,6,7.9,17,0.79,6,3.93,25,3.07,7,5.42,16
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4.0,2.0,260.0,13.0086,77.6316,0.38,13,1.37,4,1.61,9,5.68,6,1.59,1,6.85,36,1.38,5,7.32,13
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2.0,2.0,72.0,13.0116,77.6346,1.06,9,1.51,5,2.05,6,1.37,6,1.27,2,11.97,32,3.45,5,8.16,18
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,GrrvaGr,1500,2.0,1.0,115.0,13.0036,77.6266,3.01,12,0.67,2,2.57,11,7.5,7,0.42,5,14.57,42,4.22,8,1.64,33
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrrvaGr,1900,3.0,2.0,119.0,12.9846,77.6076,0.93,11,1.2,6,1.37,9,3.87,17,1.84,6,13.41,28,2.34,5,1.46,25
Super built-up  Area,19-Aug,Dommasandra,2 BHK,GrrvaGr,805,2.0,1.0,22.14,12.9746,77.5976,3.82,2,2.41,5,2.04,11,3.43,5,1.61,4,2.99,29,0.5,4,7.71,15
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.4,12.9966,77.6196,1.29,10,1.56,7,0.73,11,2.12,12,1.4,7,5.4,34,2.9,11,1.87,33
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,60.0,13.0096,77.6326,1.73,2,0.63,9,2.56,4,2.07,11,0.83,7,11.86,11,3.35,6,9.52,33
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2.0,2.0,55.0,13.0096,77.6326,0.4,5,2.6,6,3.82,4,3.25,5,0.54,7,8.97,32,4.54,6,9.54,28
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2.0,2.0,42.0,12.9836,77.6066,2.25,9,1.99,6,1.67,11,5.51,6,1.68,5,13.08,33,1.41,7,3.79,19
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2.0,2.0,110.0,13.0006,77.6236,1.43,13,1.84,8,2.36,8,7.42,17,0.87,7,12.02,14,4.46,9,3.95,33
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,GrrvaGr,1500,2.0,1.0,65.0,12.9896,77.6126,0.36,9,2.91,1,3.16,8,3.59,14,0.21,2,10.41,44,4.61,11,8.37,30
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,GrrvaGr,1080,2.0,2.0,39.0,12.9986,77.6216,0.84,11,2.78,8,3.39,7,2.68,9,0.56,1,5.86,43,3.52,3,1.15,18
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3.0,1.0,129.0,12.9886,77.6116,2.08,11,0.52,9,2.01,5,1.73,18,1.42,7,8.45,18,3.98,5,8.37,18
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,GrrvaGr,3500,5.0,2.0,150.0,13.0046,77.6276,1.84,12,2.25,8,3.69,7,5.11,21,2.0,6,1.9,16,3.21,3,3.73,21
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,GrrvaGr,1060,2.0,2.0,60.0,12.9986,77.6216,4.33,12,2.72,2,2.72,7,1.86,7,1.19,1,11.99,32,0.37,5,2.41,20
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,12.9986,77.6216,1.65,7,2.6,1,1.6,3,7.46,18,1.71,3,11.06,31,3.02,6,9.7,22
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,GrrvaGr,2600,8.0,2.0,180.0,13.0186,77.6416,2.19,12,2.68,6,2.85,6,5.8,21,0.93,4,6.08,33,2.82,7,3.57,27
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,12.9986,77.6216,2.16,13,2.44,4,3.46,4,7.93,17,1.34,3,13.2,30,2.92,11,5.8,30
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3.0,3.0,84.0,12.9916,77.6146,3.07,12,2.97,2,2.77,4,3.59,18,0.79,7,10.56,19,1.27,6,9.15,26
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2.0,3.0,72.5,13.0136,77.6366,4.53,8,0.89,3,2.88,3,1.46,12,0.11,2,11.31,19,3.32,7,6.44,28
Plot  Area,Ready To Move,Electronic City,3 Bedroom,GrrvaGr,1200,3.0,1.0,90.0,12.9836,77.6066,3.44,14,0.56,7,1.8,3,1.63,18,0.7,6,7.76,44,2.9,12,3.3,27
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2.0,1.0,40.0,12.9836,77.6066,4.22,13,0.32,9,3.66,5,1.34,17,1.88,4,9.01,30,0.4,5,1.03,31
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3.0,1.0,70.0,12.9826,77.6056,1.1,10,2.49,7,0.94,11,2.23,16,1.35,4,10.83,37,1.67,3,1.49,11
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3.0,2.0,280.0,12.9876,77.6106,4.23,12,1.41,9,3.35,11,7.64,24,0.79,1,1.77,15,2.76,9,6.91,32
